district,registered_voters,valid_votes,invalid_votes,total_votes,ratio_turnout,ratio_valid,per_turnup
KAMPALA,1280409,537980,12624,550604,0.43,0.98,43
WAKISO,1154857,561500,12518,574018,0.5,0.98,50
KASESE,384058,227322,6682,234004,0.61,0.97,61
KAMULI,236917,127831,5899,133730,0.56,0.96,56
TORORO,268434,154503,5792,160295,0.6,0.96,60
MUBENDE,196565,114626,5661,120287,0.61,0.95,61
BUIKWE,235640,125779,5430,131209,0.56,0.96,56
OYAM,184088,97463,5411,102874,0.56,0.95,56
BUGIRI,193053,99590,5285,104875,0.54,0.95,54
KAGADI,175680,108614,5037,113651,0.65,0.96,65
KOTIDO,61086,38842,4846,43688,0.72,0.89,72
BUSIA,163571,96090,4793,100883,0.62,0.95,62
MARACHA,101182,48306,4764,53070,0.53,0.91,53
KYENJOJO,215012,129255,4744,133999,0.62,0.97,62
ZOMBO,123432,59906,4685,64591,0.52,0.93,52
KIRYANDONGO,125685,55031,4662,59693,0.48,0.92,48
LUWERO,257115,147315,4649,151964,0.59,0.97,59
ARUA_CITY,170066,73323,4645,77968,0.46,0.94,46
KAYUNGA,190977,102503,4507,107010,0.56,0.96,56
TEREGO,95118,48360,4497,52857,0.56,0.92,56
MAYUGE,231116,117627,4487,122114,0.53,0.96,53
KITGUM,99234,50980,4459,55439,0.56,0.92,56
MASINDI,154805,82177,4364,86541,0.56,0.95,56
MUKONO,355275,186974,4355,191329,0.54,0.98,54
BUYENDE,138849,80831,4134,84965,0.61,0.95,61
NEBBI,130508,68563,4079,72642,0.56,0.94,56
YUMBE,113855,71150,4075,75225,0.66,0.95,66
RUKUNGIRI,185118,108385,4058,112443,0.61,0.96,61
PALLISA,131370,82896,3938,86834,0.66,0.96,66
NTUNGAMO,268541,186849,3921,190770,0.71,0.98,71
SERERE,130290,75276,3876,79152,0.61,0.95,61
MITYANA,176029,112617,3516,116133,0.66,0.97,66
KASSANDA,134798,83374,3490,86864,0.64,0.96,64
IGANGA,186519,93952,3368,97320,0.52,0.97,52
NAMISINDWA,97191,55324,3351,58675,0.6,0.94,60
KAKUMIRO,140691,86100,3347,89447,0.64,0.96,64
KUMI,119112,67387,3336,70723,0.59,0.95,59
KABAROLE,107428,62223,3256,65479,0.61,0.95,61
KIKUUBE,112825,63840,3246,67086,0.6,0.95,60
PADER,82298,44388,3244,47632,0.58,0.93,58
KAABONG,41211,29784,3221,33005,0.8,0.9,80
ALEBTONG,115804,65620,3207,68827,0.59,0.95,59
KOLE,119437,66978,3197,70175,0.59,0.95,59
RAKAI,135169,81766,3195,84961,0.63,0.96,63
APAC,88834,52252,3161,55413,0.62,0.94,62
BUKEDEA,99828,58576,3148,61724,0.62,0.95,62
MBALE_CITY,147774,75369,3128,78497,0.53,0.96,53
JINJA,120278,62361,3115,65476,0.54,0.95,54
NAMAYINGO,107234,57882,3110,60992,0.57,0.95,57
AMURU,87122,35018,3103,38121,0.44,0.92,44
KALIRO,109466,67410,3094,70504,0.64,0.96,64
KYEGEGWA,138528,81529,3040,84569,0.61,0.96,61
SOROTI,92720,62319,2991,65310,0.7,0.95,70
KISORO,158552,109032,2982,112014,0.71,0.97,71
HOIMA,90617,52732,2971,55703,0.62,0.95,62
NAMUTUMBA,121149,68491,2936,71427,0.59,0.96,59
KOBOKO,92845,47906,2933,50839,0.55,0.94,55
NAKASEKE,107133,71029,2896,73925,0.69,0.96,69
LIRA,103180,60604,2882,63486,0.62,0.96,62
LAMWO,65223,33841,2837,36678,0.56,0.92,56
NAPAK,56678,34543,2829,37372,0.66,0.92,66
KWANIA,87587,53182,2820,56002,0.64,0.95,64
JINJA_CITY,154750,68295,2750,71045,0.46,0.96,46
LWENGO,139772,85418,2687,88105,0.63,0.97,63
BUSHENYI,140415,84741,2674,87415,0.62,0.97,62
KANUNGU,146064,85691,2604,88295,0.6,0.97,60
MBALE,108400,68701,2603,71304,0.66,0.96,66
AGAGO,98354,63961,2572,66533,0.68,0.96,68
