id,district,registered_voters,valid_votes,invalid_votes,total_votes,museveni,mao,tumukunde,mwesigye,muntu,mayambala,kyagulanyi,kalembe,katumba,amuriat,kabuleta
43,KAMPALA,1280409,537980,12624,550604,128658,1372,433,202,4795,89,391787,897,1698,6608,1441
110,WAKISO,1154857,561500,12518,574018,122505,1101,1684,529,2764,140,425002,753,2520,3730,772
48,KASESE,384058,227322,6682,234004,109275,641,1282,796,1527,170,102384,565,650,9406,626
85,MUKONO,355275,186974,4355,191329,48062,525,248,185,600,117,134591,372,856,1148,270
95,NTUNGAMO,268541,186849,3921,190770,161655,159,677,218,7110,53,12503,300,802,3227,145
109,TORORO,268434,154503,5792,160295,86248,561,893,485,657,143,54556,682,521,8876,881
69,LUWERO,257115,147315,4649,151964,41166,289,211,184,298,101,103782,256,393,459,176
44,KAMULI,236917,127831,5899,133730,57470,239,540,275,487,119,65774,1112,377,1129,309
15,BUIKWE,235640,125779,5430,131209,40900,388,206,152,259,68,81852,314,382,1039,219
34,ISINGIRO,233099,200720,2410,203130,188609,129,228,206,845,30,8769,108,313,1351,132
76,MAYUGE,231116,117627,4487,122114,50932,216,540,208,313,104,62938,754,423,1005,194
65,KYENJOJO,215012,129255,4744,133999,110869,106,334,138,728,53,15158,284,350,986,249
84,MUBENDE,196565,114626,5661,120287,71834,133,343,178,328,49,40980,100,196,350,135
13,BUGIRI,193053,99590,5285,104875,45980,279,392,226,328,134,49475,417,267,1836,256
50,KAYUNGA,190977,102503,4507,107010,35881,180,300,197,294,103,64172,345,226,571,234
33,IGANGA,186519,93952,3368,97320,35660,288,334,128,241,64,54712,1284,269,849,123
103,RUKUNGIRI,185118,108385,4058,112443,77410,150,2980,149,936,83,6501,336,1432,18204,204
98,OYAM,184088,97463,5411,102874,62292,819,939,490,992,236,27351,1762,545,1450,587
80,MITYANA,176029,112617,3516,116133,38163,260,194,81,189,37,72955,90,256,307,85
23,BUSIA,163571,96090,4793,100883,44679,305,441,261,299,137,45166,738,448,2671,945
56,KISORO,158552,109032,2982,112014,98694,108,255,212,1221,31,7241,92,250,701,227
75,MASINDI,154805,82177,4364,86541,55604,203,411,314,358,97,20879,191,282,1117,2721
46,KANUNGU,146064,85691,2604,88295,72126,108,772,218,812,62,6722,241,755,3682,193
32,IBANDA,140486,88759,2042,90801,77521,159,240,97,1419,40,7702,134,353,958,136
22,BUSHENYI,140415,84741,2674,87415,66572,138,534,141,2841,51,10937,337,866,2029,295
70,LWENGO,139772,85418,2687,88105,36411,121,160,64,155,32,47742,132,182,287,132
27,BUYENDE,138849,80831,4134,84965,47916,130,393,163,266,64,30252,516,209,624,298
64,KYEGEGWA,138528,81529,3040,84569,69129,74,338,100,422,25,10656,103,171,451,60
37,KABALE,136559,88777,2247,91024,75032,130,423,128,993,44,8168,338,696,2716,109
83,MPIGI,135726,84386,2558,86944,22333,160,150,73,138,27,60815,112,182,332,64
101,RAKAI,135169,81766,3195,84961,47288,99,214,105,232,33,33267,129,122,219,58
